Win Total,2019 Spread,2018 Spread
Air Force,Air Force Falcons,AirForce
Akron,Akron Zips,Akron
Alabama,Alabama Crimson Tide,Alabama
Appalachian State,Appalachian State Mountaineers,AppalachianSt
Arizona,Arizona Wildcats,Arizona
,Arizona Wildcats,ArizonaU
Arizona State,Arizona State Sun Devils,ArizonaState
Arkansas,Arkansas Razorbacks,Arkansas
Arkansas State,Arkansas State Red Wolves,ArkansasState
Army,Army Black Knights,Army
Auburn,Auburn Tigers,Auburn
Ball State,Ball State Cardinals,BallState
Baylor,Baylor Bears,Baylor
Boise State,Boise State Broncos,BoiseState
Boston College,Boston College Eagles,BostonCollege
Bowling Green,Bowling Green State Falcons,BowlingGreen
Buffalo,Buffalo Bulls,BuffaloU
BYU,Brigham Young Cougars,BYU
California,California Golden Bears,California
UCF,Central Florida Knights,CentralFlorida
Central Michigan,Central Michigan Chippewas,CentralMichigan
Charlotte,North Carolina-Charlotte 49ers,Charlotte
Cincinnati,Cincinnati Bearcats,CincinnatiU
Clemson,Clemson Tigers,Clemson
Coastal Carolina,Coastal Carolina Chanticleers,CoastalCarolina
Colorado,Colorado Buffaloes,Colorado
Colorado State,Colorado State Rams,ColoradoState
Duke,Duke Blue Devils,Duke
East Carolina,East Carolina Pirates,EastCarolina
Eastern Michigan,Eastern Michigan Eagles,EasternMichigan
FAU,Florida Atlantic Owls,FloridaAtlantic
FIU,Florida International Golden Panthers,FloridaIntl
Florida,Florida Gators,Florida
Florida State,Florida State Seminoles,FloridaState
Fresno State,Fresno State Bulldogs,FresnoState
Georgia,Georgia Bulldogs,Georgia
Georgia Southern,Georgia Southern Eagles,GeorgiaSouthern
Georgia State,Georgia State Panthers,GeorgiaState
Georgia Tech,Georgia Tech Yellow Jackets,GeorgiaTech
Hawaii,Hawaii Warriors,Hawaii
Houston,Houston Cougars,Houston
,Houston Cougars,HoustonU
Idaho,Idaho Vandals,Idaho
Illinois,Illinois Fighting Illini,Illinois
Indiana,Indiana Hoosiers,Indiana
Iowa,Iowa Hawkeyes,Iowa
Iowa State,Iowa State Cyclones,IowaState
Kansas,Kansas Jayhawks,Kansas
Kansas State,Kansas State Wildcats,KansasState
Kent State,Kent State Golden Flashes,KentState
Kentucky,Kentucky Wildcats,Kentucky
Liberty,Liberty Flames,Liberty
Louisiana,Louisiana-Lafayette Ragin Cajuns,ULLafayette
Louisiana Tech,Louisiana Tech Bulldogs,LouisianaTech
Louisville,Louisville Cardinals,Louisville
LSU,Louisiana State Tigers,LSU
Marshall,Marshall Thundering Herd,Marshall
Maryland,Maryland Terrapins,Maryland
Memphis,Memphis Tigers,Memphis
Miami,Miami-Florida Hurricanes,MiamiFlorida
Miami (OH),Miami-Ohio Redhawks,MiamiOhio
Michigan,Michigan Wolverines,Michigan
Michigan State,Michigan State Spartans,MichiganState
Middle Tennessee,Middle Tennessee State Blue Raiders,MiddleTennSt
Minnesota,Minnesota Golden Gophers,MinnesotaU
Mississippi State,Mississippi State Bulldogs,MississippiState
,Mississippi State Bulldogs,MississippiSt
Missouri,Missouri Tigers,Missouri
Navy,Navy Midshipmen,Navy
NC State,North Carolina State Wolfpack,NCState
Nebraska,Nebraska Cornhuskers,Nebraska
Nevada,Nevada Wolf Pack,Nevada
New Mexico,New Mexico Lobos,NewMexico
New Mexico State,New Mexico State Aggies,NewMexicoState
North Carolina,North Carolina Tar Heels,NorthCarolina
North Texas,North Texas Mean Green,NorthTexas
Northern Illinois,Northern Illinois Huskies,NoIllinois
,Northern Illinois Huskies,NorthernIllinois
Northwestern,Northwestern Wildcats,Northwestern
Notre Dame,Notre Dame Fighting Irish,NotreDame
Ohio,Ohio Bobcats,Ohio
Ohio State,Ohio State Buckeyes,OhioState
Oklahoma,Oklahoma Sooners,Oklahoma
Oklahoma State,Oklahoma State Cowboys,OklahomaState
Old Dominion,Old Dominion Monarchs,OldDominion
Ole Miss,Mississippi Rebels,Mississippi
Oregon,Oregon Ducks,Oregon
Oregon State,Oregon State Beavers,OregonState
Penn State,Penn State Nittany Lions,PennState
Pitt,Pittsburgh Panthers,PittsburghU
Purdue,Purdue Boilermakers,Purdue
Rice,Rice Owls,Rice
Rutgers,Rutgers Scarlet Knights,Rutgers
San Diego State,San Diego State Aztecs,SanDiegoState
San Jose State,San Jose State Spartans,SanJoseState
SMU,Southern Methodist Mustangs,SMU
South Alabama,South Alabama Jaguars,SouthAlabama
South Carolina,South Carolina Gamecocks,SouthCarolina
South Florida,South Florida Bulls,SouthFlorida
Southern Miss,Southern Miss Golden Eagles,SouthernMiss
Stanford,Stanford Cardinal,Stanford
Syracuse,Syracuse Orange,Syracuse
TCU,Texas Christian Horned Frogs,TCU
Temple,Temple Owls,Temple
Tennessee,Tennessee Volunteers,TennesseeU
Texas,Texas Longhorns,Texas
Texas A&M,Texas A&M Aggies,TexasA&M
Texas State,Texas State Bobcats,TexasState
Texas Tech,Texas Tech Red Raiders,TexasTech
Toledo,Toledo Rockets,Toledo
Troy,Troy Trojans,Troy
Tulane,Tulane Green Wave,Tulane
Tulsa,Tulsa Golden Hurricane,Tulsa
UAB,Alabama-Birmingham Blazers,UAB
UCLA,UCLA Bruins,UCLA
UConn,Connecticut Huskies,Connecticut
ULM,Louisiana-Monroe Warhawks,ULMonroe
UMass,Massachusetts Minutemen,Massachusetts
UNLV,UNLV Rebels,UNLV
USC,Southern California Trojans,USC
Utah,Utah Utes,Utah
Utah State,Utah State Aggies,UtahState
UTEP,Texas-El Paso Miners,UTEP
UTSA,Texas-San Antonio Roadrunners,TexSanAntonio
Vanderbilt,Vanderbilt Commodores,Vanderbilt
Virginia,Virginia Cavaliers,Virginia
Virginia Tech,Virginia Tech Hokies,VirginiaTech
Wake Forest,Wake Forest Demon Deacons,WakeForest
Washington,Washington Huskies,Washington
,Washington Huskies,WashingtonU
Washington State,Washington State Cougars,WashingtonState
West Virginia,West Virginia Mountaineers,WestVirginia
Western Kentucky,Western Kentucky Hilltoppers,WesternKentucky
Western Michigan,Western Michigan Broncos,WesternMichigan
Wisconsin,Wisconsin Badgers,Wisconsin
Wyoming,Wyoming Cowboys,Wyoming
,Abilene Christian Wildcats,AbileneChristian
,Alabama A&M Bulldogs,AlabamaA&M
,Alabama State Hornets,AlabamaSt
,Albany Great Danes,Albany
,Alcorn State Braves,AlcornSt
,Arkansas-Pine Bluff Golden Lions,ArkPineBluff
,Austin Peay State Governors,AustinPeay
,Bethune Cookman Wildcats,BethuneCookman
,Bryant University Bulldogs,
,Bucknell Bison,
,Butler Bulldogs,
,Cal Poly-Slo Mustangs,
,California State-Sacramento Hornets,CSSacramento
,California-Davis Aggies,UCDavis
,Campbell Fighting Camels,Campbell
,Central Arkansas Bears,CentralArkansas
,Central Connecticut State Blue Devils,
,Charleston Southern Buccaneers,CharlestonSou
,Citadel Bulldogs,
,Colgate Raiders,
,Davidson College Wildcats,
,Dayton Flyers,
,Delaware Blue Hens,
,Delaware State Hornets,DelawareSt
,Drake Bulldogs,
,East Tennessee State Buccaneers,EastTennesseeSt
,Eastern Illinois Panthers,EasternIllinois
,Eastern Kentucky Colonels,EasternKentucky
,Eastern Washington Eagles,EastWashington
,Elon Phoenix,Elon
,Florida A&M Rattlers,FloridaA&M
,Fordham Rams,Fordham
,Furman  Paladins,Furman
,Gardner Webb Runnin Bulldogs,GardnerWebb
,Georgetown Hoyas,
,Grambling State Tigers,Grambling
,Holy Cross Crusaders,HolyCross
,Houston Baptist Huskies,HoustonBaptist
,Howard Bison,Howard
,Illinois State Redbirds,IllinoisSt
,Incarnate Word Cardinals,IncarnateWord
,Indiana State Sycamores,IndianaSt
,Jackson State Tigers,JacksonSt
,Jacksonville Dolphins,
,Jacksonville State Gamecocks,
,James Madison Dukes,JamesMadison
,Kennesaw State Owls,
,Lafayette Leopards,
,Lamar Cardinals,Lamar
,Lehigh Mountain Hawks,Lehigh
,Maine Black Bears,Maine
,Marist Red Foxes,
,McNeese State Cowboys,McNeeseSt
,Mercer Bears,Mercer
,Mississippi Valley State Delta Devils,
,Missouri State Bears,
,Monmouth-New Jersey Hawks,
,Montana Grizzlies,
,Montana State Bobcats,
,Morehead State Eagles,
,Morgan State Bears,MorganSt
,Murray State Racers,MurraySt
,New Hampshire Wildcats,NewHampshire
,Nicholls State Colonels,NichollsSt
,Norfolk State Spartans,N.CarolinaA&T
,North Alabama Lions,
,North Carolina A&T Aggies,
,North Carolina Central Eagles,NCCentral
,North Dakota Fighting Hawks,NorthDakota
,North Dakota State Bison,
,Northern Arizona Lumberjacks,NorthernArizona
,Northern Colorado Bears,
,Northern Iowa Panthers,NorthernIowa
,Northwestern State Demons,
,Portland State Vikings,PortlandSt
,Prairie View A&M Panthers,PrairieView
,Presbyterian Blue Hose,
,Rhode Island Rams,RhodeIsland
,Richmond Spiders,Richmond
,Robert Morris Colonials,
,Sacred Heart Pioneers,
,Saint Francis-Pennsylvania Red Flash,
,Sam Houston State Bearkats,
,Samford Bulldogs,Samford
,San Diego Toreros,SavannahSt
,South Carolina State Bulldogs,SoCarolinaSt
,South Dakota Coyotes,SouthDakota
,South Dakota State Jackrabbits,
,Southeast Missouri State Redhawks,SEMissouriSt
,Southeastern Louisiana Lions,
,Southern Illinois Salukis,SoIllinois
,Southern University A&M Jaguars,
,Southern Utah Thunderbirds,SouthernUtah
,Stephen F. Austin State Lumberjacks,StephenF.Austin
,Stetson Hatters,
,Stony Brook Seawolves,StonyBrook
,Tennessee State Tigers,TennesseeSt
,Tennessee Tech Golden Eagles,TennesseeTech
,Tennessee-Chattanooga Mocs,
,Tennessee-Martin Skyhawks,TennesseeMartin
,Texas Southern Tigers,TexasSouthern
,Towson Tigers,Towson
,Valparaiso Crusaders,
,Villanova Wildcats,Villanova
,Virginia Military Keydets,VMI
,Wagner Seahawks,Wagner
,Weber State Wildcats,
,Western Carolina Catamounts,
,Western Illinois Leathernecks,WesternIllinois
,William & Mary Tribe,William&Mary
,Wofford Terriers,Wofford
,Youngstown State Penguins,YoungstownSt
